ID	MS	Mp	VFN	Mh	Man	MMS	TAN	T	Va	Ve	Mk	Cn	Ct	Cr	m (kg)	ID	Mt	Enedc (g/km)	Ewltp (g/km)	W (mm)	At1 (mm)	At2 (mm)	Ft	Fm	ec (cm3)	ep (KW)	z (Wh/km)	It	Ernedc (g/km)	Erwltp (g/km)	De	Vf	r
15060864	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2001/116*0291*53	5J	ABCHZBX01	NFM5FM5DF002N617	ÂŠKODA	FABIA	M1	M1	1110	15060864		101		1441	2455	1441	Petrol	M	999	70							1
9468142	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e13*2007/46*1169*14	AA	ABCHYA	FM5FM5CF0117MMVR0N1SSK61	SKODA	CITIGO	M1	M1	926	9468142		101		1424	2407	1428	PETROL	M	999	44							1
2769912	AT	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S. TR.	e8*2007/46*0318*00	5E	ACDCYAX1	NAD7AD7GC002STMLN687	SKODA	OCTAVIA	M1	M1	1490	2769912		130		1532	2677	1533	Diesel	M	1968	110							1
15171264	CZ	VW GROUP PC	IP-08-TMP-2018-2043	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0319*02	5J	ACDKRCX01	NFM6FM6DQ0027CPM1C8B	ÂŠKODA	FABIA	M1	M1	1152	15171264	1311	107	131	1441	2455	1441	Petrol	M	999	81		e8 19	1			0	1
7260918	DE			AA-IVA	AA-IVA	BAYER.MOT.WERKE-BMW		G29	HF11			Z4 SDRIVE 20I	M1	M1	1500	7260918		145					PETROL	M	1998	145							1
12823786	BE			NISSAN	NISSAN INTERNATIONAL SA	Nissan	e13*2007/46*1456*11	T32	C	C73	NISSAN	NISSAN X-TRAIL	M1	M1	1580	12823786		149		2705	1585	1585	PETROL	M	1618	120							1
9382664	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2001/116*0291*55	5J	ACCHZBX01	NFM5FM5DF002N617	SKODA	FABIA	M1	M1	1134	9382664		101		1457	2455	1463	PETROL	M	999	70							1
3125565	PL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2007/46*0243*25	5E	AADDYAX0	NFM5FM5A4051STVLN617	SKODA	OCTAVIA	M1	M1	1305	3125565		106		1528	2667	1528	Diesel	M	1598	85						0	1
15229188	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0317*00	3T	AADFHAX11	NAD7AD7GC005STN627	ÂŠKODA	SUPERB	M1	M1	1660	15229188		136		1578	2836	1578	Diesel	M	1968	140							1
9321102	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2007/46*0243*20	5E	ACCZDAX0	NFM6FM62S022STVLN657	SKODA	OCTAVIA	M1	M1	1277	9321102		124		1540	2667	1549	PETROL	M	1395	110							1
9271651	DE	VW GROUP PC	IP-08-TMB-2018-0026	SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0319*02	5J	ABCHYBX01	NFM5FM5CF0087CPN1C7A	SKODA	FABIA	M1	M1	1086	9271651	1189	111	129	1457	2455	1463	PETROL	M	999	55						0	1
2798652	AT	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S. TR.	e8*2007/46*0249*04	NS	ACDFGAX1	NAM6AM6BB0030NS5N617	SKODA	KODIAQ	M1	M1	1705	2798652		141		1566	2788	1576	Diesel	M	1968	110							1
9380738	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2001/116*0291*55	5J	ACCHZBX01	NFM5FM5DF002N617	SKODA	FABIA	M1	M1	1134	9380738		101		1457	2455	1463	PETROL	M	999	70							1
9362785	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2001/116*0326*45	3T	ACDFHAX01	NFD7FD7GC004STN627	SKODA	SUPERB	M1	M1	1610	9362785		123		1574	2836	1586	DIESEL	M	1968	140							1
15240853	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2001/116*0326*45	3T	AADFHAX11	NAD7AD7GC005STN627	ÂŠKODA	SUPERB	M1	M1	1660	15240853		136		1578	2836	1578	Diesel	M	1968	140							1
